date, Population, Annual Growth Rate, Births per 1000 People, Births per 1000 People Annual Change, Deaths per 1000 People, Deaths per 1000 People Annual Change, Life Expectancy from Birth (Years), Life Expectancy from Birth (Years) Annual Change, Population per Square KM, Population per Square KM Annual Change
12/31/1950,543979233,0.0,46.133,0.0,23.366,0.0,43.446,0.0,56.6644397,0.0
12/31/1951,553613988,1.77,44.921,-2.63,23.106,-1.11,43.574,0.29,57.6680589,1.77
12/31/1952,564954522,2.05,43.71,-2.7,22.845,-1.13,43.702,0.29,58.8493632,2.05
12/31/1953,577378682,2.2,42.498,-2.77,22.585,-1.14,43.83,0.29,60.143545,2.2
12/31/1954,589936004,2.17,41.286,-2.85,22.325,-1.15,43.958,0.29,61.451598,2.17
12/31/1955,603320147,2.27,40.075,-2.93,22.064,-1.17,44.086,0.29,62.8457779,2.27
12/31/1956,616283022,2.15,38.863,-3.02,21.804,-1.18,44.214,0.29,64.1960759,2.15
12/31/1957,630003025,2.23,37.652,-3.12,21.543,-1.2,44.342,0.29,65.6252413,2.23
12/31/1958,643791581,2.19,36.44,-3.22,21.283,-1.21,44.47,0.29,67.0615476,2.19
12/31/1959,652179194,1.3,37.034,1.63,21.157,-0.59,44.486,0.04,67.9352563,1.3
12/31/1960,654170692,0.31,37.629,1.61,21.031,-0.6,44.502,0.04,68.1427038,0.31
12/31/1961,655260380,0.17,38.223,1.58,20.905,-0.6,44.518,0.04,68.2562128,0.17
12/31/1962,664614650,1.43,38.818,1.56,20.779,-0.6,44.534,0.04,69.2306148,1.43
12/31/1963,683903557,2.9,39.412,1.53,20.653,-0.61,44.55,0.04,71.2398737,2.9
12/31/1964,704593772,3.03,39.427,0.04,19.082,-7.61,46.734,4.9,73.395102,3.03
12/31/1965,723846349,2.73,39.442,0.04,17.511,-8.23,48.918,4.67,75.4005765,2.73
12/31/1966,742948541,2.64,39.458,0.04,15.941,-8.97,51.102,4.46,77.390386,2.64
12/31/1967,761006260,2.43,39.473,0.04,14.37,-9.86,53.286,4.27,79.2713962,2.43
12/31/1968,780371956,2.54,39.488,0.04,12.799,-10.93,55.47,4.1,81.288654,2.54
12/31/1969,801430976,2.7,37.976,-3.83,12.075,-5.66,56.71,2.24,83.4822994,2.7
12/31/1970,822534450,2.63,36.463,-3.98,11.351,-6.0,57.95,2.19,85.6805755,2.63
12/31/1971,843285424,2.52,34.951,-4.15,10.626,-6.39,59.19,2.14,87.8421328,2.52
12/31/1972,862840403,2.32,33.438,-4.33,9.902,-6.81,60.43,2.09,89.8791075,2.32
12/31/1973,881652080,2.18,31.926,-4.52,9.178,-7.31,61.67,2.05,91.838655,2.18
12/31/1974,899367640,2.01,30.039,-5.91,8.772,-4.42,62.438,1.25,93.6840238,2.01
12/31/1975,915124661,1.75,28.152,-6.28,8.366,-4.63,63.206,1.23,95.3253783,1.75
12/31/1976,929375924,1.56,26.265,-6.7,7.959,-4.86,63.974,1.22,96.8098832,1.56
12/31/1977,942581333,1.42,24.378,-7.18,7.553,-5.1,64.742,1.2,98.1854451,1.42
12/31/1978,955138943,1.33,22.491,-7.74,7.147,-5.38,65.51,1.19,99.493528,1.33
12/31/1979,968298969,1.38,22.231,-1.16,7.039,-1.51,65.958,0.68,100.8643625,1.38
12/31/1980,982372466,1.45,21.972,-1.17,6.93,-1.55,66.406,0.68,102.3303501,1.45
12/31/1981,997259502,1.52,21.712,-1.18,6.822,-1.56,66.854,0.67,103.8810813,1.52
12/31/1982,1013483166,1.63,21.453,-1.19,6.713,-1.6,67.302,0.67,105.5710444,1.63
12/31/1983,1029226907,1.55,21.193,-1.21,6.605,-1.61,67.75,0.67,107.2110155,1.55
12/31/1984,1044172197,1.45,21.908,3.37,6.625,0.3,67.984,0.35,108.7678148,1.45
12/31/1985,1060239979,1.54,22.623,3.26,6.645,0.3,68.218,0.34,110.4415402,1.54
12/31/1986,1077770523,1.65,23.339,3.16,6.664,0.29,68.452,0.34,112.2676365,1.65
12/31/1987,1096851843,1.77,24.054,3.06,6.684,0.3,68.686,0.34,114.2552718,1.77
12/31/1988,1115889802,1.74,24.769,2.97,6.704,0.3,68.92,0.34,116.2383903,1.74
12/31/1989,1134414723,1.66,23.299,-5.93,6.702,-0.03,69.01,0.13,118.1680674,1.66
12/31/1990,1153704252,1.7,21.829,-6.31,6.7,-0.03,69.1,0.13,120.1773911,1.7
12/31/1991,1170626171,1.47,20.359,-6.73,6.699,-0.01,69.19,0.13,121.940089,1.47
12/31/1992,1183813389,1.13,18.889,-7.22,6.697,-0.03,69.28,0.13,123.313756,1.13
12/31/1993,1195855558,1.02,17.419,-7.78,6.695,-0.03,69.37,0.13,124.5681472,1.02
12/31/1994,1207286675,0.96,16.85,-3.27,6.69,-0.07,69.612,0.35,125.7588872,0.96
