Year,Urban population (% of total population),Sex ratio at birth (male births per female births) ,Rural population (% of total population),"Population, total","Population, male (% of total population) ","Population, female (% of total population)",Population growth (annual %),Population ages 65 and above (% of total population),Net migration,"Mortality rate, infant (per 1,000 live births)","Fertility rate, total (births per woman)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population)
1969,17.528,1.063,82.472,796025000,50.9590318106197,49.0409681893803,2.74000210569558,3.68748973605464,-72835,83.4,6.175,8.03,34.11,80.9619791271914
1970,17.4,1.064,82.6,818315000,50.9545518731769,49.0454480052477,2.76167556645304,3.71252134181128,-126514,79.7,6.085,7.6,33.43,80.5240271796299
1971,17.292,1.064,82.708,841105000,50.9525593317975,49.0474406682025,2.74691554961857,3.74341594438813,-180202,76,5.523,7.32,30.65,80.1882081317262
1972,17.184,1.064,82.816,862030000,50.9515713996995,49.0484286003005,2.45735692952286,3.77779805937066,-215730,72.5,5.112,7.61,29.77,79.4811770762984
1973,17.184,1.064,82.816,881940000,50.9500112561409,49.0499887438591,2.28339536396383,3.8219436855409,-215090,68.9,4.726,7.04,27.93,78.8312385191076
1974,17.292,1.065,82.708,900350000,50.946444326149,49.0535555626618,2.06595501335632,3.8846675670278,-175304,65.3,4.17,7.34,24.82,79.0641232036745
1975,17.4,1.066,82.6,916395000,50.9404323658588,49.0595676341412,1.76639178162482,3.95420515282125,-115215,61.6,3.571,7.32,23.01,79.506480828519
1976,17.46,1.067,82.54,930685000,50.9337973769159,49.0662026230841,1.54733797287665,4.018994580722,-55120,58.1,3.235,7.25,19.91,79.7628158394681
1977,17.52,1.068,82.48,943455000,50.9269319467841,49.0730679471243,1.36277947570678,4.08829139420709,-15327,54.8,2.844,6.87,18.93,78.4350114640648
1978,17.9,1.069,82.1,956165000,50.9196549428097,49.0803449524935,1.33818233834084,4.17919841018313,-9923,51.7,2.716,6.25,18.25,74.7692925707561
