Year,0-4Female,5-9Female,10-14Female,15-19Female,20-24Female,25-29Female,30-34Female,35-39Female,40-44Female,45-49Female,50-54Female,55-59Female,60-64Female,65-69Female,70-74Female,75-79Female,80-84Female,85-89Female,90-94Female,95-99Female,100+Female,0-4Male,5-9Male,10-14Male,15-19Male,20-24Male,25-29Male,30-34Male,35-39Male,40-44Male,45-49Male,50-54Male,55-59Male,60-64Male,65-69Male,70-74Male,75-79Male,80-84Male,85-89Male,90-94Male,95-99Male,100+Male
1960,"47,920,315.00","46,829,753.00","33,432,080.00","25,471,658.00","24,122,343.00","23,327,941.00","20,533,620.00","18,630,935.50","16,497,774.00","14,737,326.50","13,208,805.00","11,375,459.50","8,525,574.50","6,582,603.50","4,410,789.00","2,557,647.00","1,046,284.00","334,658.50","73,378.00","8,914.50",531.00,"50,498,580.00","49,096,884.00","36,145,323.00","28,492,059.00","27,550,807.50","25,932,084.50","22,407,798.50","19,759,683.00","17,081,862.50","15,271,532.00","12,909,974.00","10,724,846.00","7,732,748.50","5,380,578.00","3,229,643.00","1,571,773.00","557,486.00","166,261.50","30,039.00","2,309.00",29.50
1961,"43,854,185.00","47,677,726.00","35,825,728.00","26,076,781.50","24,016,057.50","23,698,797.50","20,836,776.50","18,794,400.00","16,628,372.00","14,974,613.50","13,110,975.00","11,521,235.00","8,604,530.50","6,589,384.50","4,309,414.00","2,455,971.50","1,039,753.50","313,689.50","64,564.50","7,621.50",451.00,"46,298,328.50","50,034,846.00","38,324,622.00","28,923,464.50","27,475,923.00","26,330,470.50","22,817,293.50","19,984,001.50","17,227,684.00","15,441,417.50","12,856,605.50","10,761,714.00","7,718,281.50","5,340,784.00","3,111,826.50","1,493,829.50","539,886.00","150,155.00","26,290.50","1,912.50",16.50
1962,"42,618,084.00","48,227,487.00","38,568,543.00","27,060,995.50","24,056,249.00","23,960,210.50","21,219,384.00","19,007,207.50","16,794,522.00","15,275,327.00","13,102,315.50","11,635,871.00","8,842,669.00","6,629,007.50","4,318,805.50","2,432,790.50","1,061,433.50","300,469.50","59,487.00","6,720.50",380.00,"45,004,870.50","50,685,804.00","40,815,433.50","29,870,307.50","27,408,761.50","26,735,104.50","23,297,707.50","20,298,030.50","17,454,301.50","15,661,457.00","12,923,916.50","10,812,142.00","7,851,263.00","5,353,814.00","3,084,425.00","1,474,477.00","540,474.00","138,849.50","23,929.50","1,612.00",10.00
1963,"45,892,983.50","48,233,568.00","41,316,192.00","28,554,232.50","24,141,310.00","23,937,322.50","21,672,178.00","19,363,372.00","17,074,803.50","15,443,009.50","13,236,529.50","11,738,581.00","9,178,661.50","6,671,293.00","4,407,431.00","2,467,958.50","1,091,513.00","292,830.00","56,821.50","6,068.00",311.50,"48,429,331.00","50,779,580.50","43,365,362.50","31,340,771.50","27,300,677.00","26,889,568.00","23,873,296.00","20,784,481.50","17,800,543.00","15,763,988.00","13,154,325.00","10,874,094.50","8,075,194.00","5,383,838.50","3,117,905.00","1,491,396.50","547,760.00","130,685.50","22,378.00","1,406.00",5.00
1964,"51,299,213.50","46,735,446.00","43,595,994.00","30,430,756.00","24,424,064.00","23,695,036.50","22,181,661.50","19,632,192.50","17,492,035.50","15,491,079.00","13,447,965.00","11,872,040.50","9,557,579.50","6,702,596.00","4,513,370.00","2,522,640.00","1,105,837.00","290,144.00","54,615.50","5,445.00",250.00,"54,096,488.50","49,276,817.50","45,579,154.50","33,087,835.00","27,421,254.00","26,776,166.50","24,507,926.00","21,176,567.00","18,295,130.50","15,757,097.00","13,468,183.00","10,986,288.50","8,343,232.00","5,396,712.50","3,160,661.50","1,518,130.00","548,604.00","125,479.50","20,836.50","1,243.00",3.50
1965,"56,812,382.50","44,061,579.50","45,483,596.50","32,766,559.00","24,915,638.50","23,478,984.50","22,660,164.00","19,877,571.00","17,885,143.50","15,634,287.00","13,703,330.00","11,977,329.00","9,895,146.00","6,795,976.50","4,643,525.00","2,568,122.00","1,109,031.50","297,277.50","52,982.00","4,854.50",207.00,"59,888,563.50","46,501,535.00","47,521,858.50","35,247,485.50","27,756,853.00","26,677,187.50","25,033,414.00","21,551,046.00","18,776,607.00","15,889,525.00","13,777,742.50","11,126,019.00","8,582,101.50","5,444,355.50","3,224,484.50","1,533,497.00","544,953.50","124,889.50","19,427.50","1,114.50",2.00
1966,"62,411,549.50","41,371,944.50","46,644,516.50","35,279,839.00","25,593,648.50","23,456,453.50","23,100,336.00","20,247,658.00","18,126,784.50","15,852,134.00","14,025,574.50","11,996,853.50","10,144,121.50","6,998,958.00","4,775,467.00","2,603,415.50","1,115,371.00","311,941.50","52,126.50","4,415.50",180.50,"65,792,406.00","43,671,738.00","48,790,374.50","37,550,763.00","28,283,021.00","26,712,038.00","25,527,107.00","22,054,155.50","19,112,690.50","16,160,993.50","14,077,458.50","11,233,620.00","8,759,825.50","5,574,177.00","3,303,114.50","1,538,681.50","545,850.00","127,757.50","18,446.00","1,032.00",2.00
1967,"65,419,106.50","40,556,859.50","47,325,971.00","38,067,202.00","26,614,985.00","23,549,587.00","23,405,261.50","20,664,452.00","18,379,785.00","16,063,643.00","14,361,645.50","12,042,767.00","10,301,641.50","7,265,829.50","4,873,513.50","2,662,750.50","1,134,830.50","327,087.50","51,546.00","4,198.50",168.00,"68,977,694.50","42,789,033.50","49,584,786.50","40,080,189.50","29,273,585.00","26,712,813.00","25,983,766.50","22,578,467.50","19,480,001.50","16,450,334.50","14,357,739.50","11,379,907.00","8,886,480.50","5,755,525.00","3,375,232.50","1,561,362.50","556,362.50","131,461.50","17,685.50","1,000.00",1.50
1968,"65,407,697.50","43,590,559.50","47,366,871.00","40,813,338.00","28,119,632.50","23,671,252.50","23,416,991.00","21,134,752.00","18,753,522.50","16,363,842.00","14,550,662.00","12,194,816.50","10,417,969.00","7,579,465.00","4,947,184.50","2,752,836.50","1,171,242.00","340,380.00","51,569.50","4,129.50",162.50,"68,992,051.50","45,945,820.50","49,723,549.00","42,619,567.50","30,753,383.00","26,651,187.50","26,174,530.00","23,171,669.00","19,985,253.50","16,823,140.00","14,498,819.00","11,638,603.50","8,994,522.50","5,976,888.00","3,441,608.50","1,604,041.50","575,154.00","135,123.50","17,169.50",997.00,2.00
1969,"65,456,628.00","48,816,463.00","45,935,186.00","43,094,076.50","30,000,016.00","23,983,508.50","23,211,746.50","21,659,955.00","19,042,036.00","16,795,772.00","14,629,506.50","12,421,824.50","10,565,052.00","7,925,987.00","5,014,117.00","2,855,777.50","1,216,785.50","348,282.50","52,573.00","4,065.00",152.50,"69,077,008.00","51,420,627.00","48,299,804.50","44,829,741.00","32,500,817.00","26,809,877.00","26,102,317.00","23,822,147.50","20,399,126.50","17,337,358.00","14,542,920.00","11,974,703.00","9,150,074.50","6,229,932.00","3,498,457.00","1,653,687.50","597,642.00","137,244.50","17,021.00",958.50,2.50
1970,"66,138,852.50","54,268,497.00","43,339,964.50","44,978,887.50","32,330,350.50","24,491,808.50","23,025,220.00","22,150,735.00","19,304,588.50","17,203,047.00","14,798,717.50","12,690,133.00","10,687,154.50","8,236,445.50","5,128,628.00","2,973,112.00","1,256,158.00","353,750.00","55,506.00","4,016.50",134.50,"69,832,681.50","57,159,751.50","45,620,831.50","46,770,006.00","34,649,578.50","27,170,672.50","26,037,763.50","24,362,896.50","20,793,360.50","17,838,583.00","14,717,518.50","12,306,513.00","9,329,570.50","6,461,993.50","3,579,791.00","1,715,540.50","614,431.50","138,875.50","17,490.00",893.00,1.50
